Register or Firmware Variable Name,Golden Trim or Active Trim?,Trim Code at Wafer Sort,Trim Code at Sensor Test,Trim Code at Module Test,Test Stage for OTP Burn,      Confidence Level,Affects CNR?,,,,
ADCOFFSET,Golden,0,0,0,WS,High,N,,,,
ADCRANGE,Golden,13,13,13,WS,Medium,Y,,,,
ANA_ENABLE,Golden,27,27,27,WS,High,N,,,,
CONTRIM,Golden,0,0,0,WS,Low,N,,,,
GMBIASTRIM,Active,0,Value from WS,Value from WS,WS,High,Y,,,,
HVCPNUMSTAGESTRIM,Golden,0,0,0,WS,Medium,,,,,
HVCPVREFTRIM,Golden,7,7,7,WS,Medium,Y,,,,
INT_WIDTH,Golden,0,0,0,WS,High,N,,,,
MBBGTRIM,Active,0,Value from WS,Value from WS,WS,High,N,,,,
MBCURVCORTRIM,Golden,7,7,7,WS,High,N,,,,
MBENABLE,Golden,5,5,5,WS,High,N,,,,
MBIBIASTRIM,Active,0,Value from WS,Value from WS,WS,High,N,,,,
OFFSET_REG,Golden,92,92,92,WS,Low,N,,,,
PLLDIV,Golden,18,18,18,WS,High,N,,,,
PLLVCOFREQ,Golden,0,0,0,WS,High,N,,,,
PLLVCOKVHI,Golden,0,0,0,WS,High,N,,,,
PLLVCOKVLO,Golden,0,0,0,WS,High,N,,,,
PRI_SERIF_CFG,Golden,0,0,0,WS,High,N,,,,
PROTECT_CFG,Golden,2,2,2,WS,High,N,,,,
RCOSC_DIG_CLK_TIME,Golden,32,32,32,WS,High,N,,,,
RCOSCBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RCOSCCALREFCOUNT_0,Golden,48,48,48,WS,High,N,,,,
RCOSCCALREFCOUNT_1,Golden,1,1,1,WS,High,N,,,,
RCOSCTRIM,Golden,0,0,0,WS,High,N,,,,
RXADCCLKFREQSETTING,Golden,16,16,16,WS,High,N,,,,
RXARRAYIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXATPIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXBIAS_PLL_CLK_TIME,Golden,3,3,3,WS,High,N,,,,
RXBPFF0TRIM,Active,7,Actively calibrated,Actively calibrated,MT,High,Y,,,,
RXBPFGAINTRIM,Golden,0,0,0,WS,High,N,,,,
RXBPFIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXBPFQTRIM,Golden,5,5,5,WS,Medium,Y,,,,
RXCLKFREQSETTING,Golden,3,3,3,WS,High,N,,,,
RXCLKNUMCYCLES,Golden,120,120,120,WS,High,N,,,,
RXCOLSEL_0,Golden,56,56,56,Software OTP,Medium,Y,,,,
RXCOLSEL_1,Golden,0,0,0,Software OTP,Medium,Y,,,,
RXCONTROL,Golden,2,2,2,WS,High,Y,,,,
RXDELAYINTSTART_TEMP_0,Active,168,Actively calibrated,Actively calibrated,MT,Medium,Y,,,,
RXDELAYINTSTART_TEMP_1,Active,0,Actively calibrated,Actively calibrated,MT,Medium,Y,,,,
RXDELAYINTSTOP_TEMP_0,Active,218,Actively calibrated,Actively calibrated,MT,Medium,Y,,,,
RXDELAYINTSTOP_TEMP_1,Active,0,Actively calibrated,Actively calibrated,MT,Medium,Y,,,,
RXDELAYTRACKSTART_TEMP_0,Active,244,Actively calibrated,Actively calibrated,MT,High,Y,,,,
RXDELAYTRACKSTART_TEMP_1,Active,1,Actively calibrated,Actively calibrated,MT,High,Y,,,,
RXDELAYTRACKSTOP_TEMP_0,Active,252,Actively calibrated,Actively calibrated,MT,High,Y,,,,
RXDELAYTRACKSTOP_TEMP_1,Active,3,Actively calibrated,Actively calibrated,MT,High,Y,,,,
RXDIGCLKFREQSETTING,Golden,0,0,0,WS,High,N,,,,
RXGLOBALIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXHVCPCLKFREQSETTING,Golden,6,6,6,WS,Medium,Y,,,,
RXINTCAPTRIM,Active,1,Actively calibrated,Actively calibrated,MT,High,N,,,,
RXINTIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXRECRESTRIM,Active,2,Actively calibrated,Actively calibrated,MT,High,N,,,,
RXRECTDZTRIM,Active,1,Actively calibrated,Actively calibrated,MT,High,N,,,,
RXRECTIBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXROWSEL_0,Golden,56,56,56,Software OTP,Medium,Y,,,,
RXROWSEL_1,Golden,0,0,0,Software OTP,Medium,Y,,,,
RXSTG1GAINTRIM,Golden,1,1,1,WS,High,Y,,,,
RXSTG1IBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXSTG2GAINTRIM,Golden,1,1,1,WS,High,Y,,,,
RXSTG2IBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXSTG3IBIASTRIM,Golden,0,0,0,WS,High,N,,,,
RXVCMREF1TRIM,Golden,0,0,0,WS,High,N,,,,
RXVCMREF2TRIM,Golden,0,0,0,WS,High,N,,,,
RXVCMREF3TRIM,Golden,0,0,0,WS,High,N,,,,
SELHVCPVOL,Golden,4,4,4,WS,Medium,N,,,,
TEMP_CONTROL,Golden,0,0,0,WS,Low,N,,,,
TSDVBETRIMC,Golden,7,7,7,WS,Low,N,,,,
TSDVBETRIMF,Golden,21,21,21,WS,Low,N,,,,
TSSIMPLEMODE,Golden,0,0,0,WS,Low,N,,,,
TSVBETRIMC,Active,3,Value from WS,Value from WS,WS,Low,N,,,,
TSVBETRIMF,Active,Actively calibrated,Value from WS,Value from WS,WS,Low,N,,,,
TXBFPHVECTOR0_0,Golden,80,80,80,Software OTP,Medium,Y,,,,
TXBFPHVECTOR0_1,Golden,21,21,21,Software OTP,Medium,Y,,,,
TXBFPHVECTOR0_2,Golden,0,0,0,Software OTP,Medium,Y,,,,
TXBFPHVECTOR1_0,Golden,164,164,164,Software OTP,Medium,Y,,,,
TXBFPHVECTOR1_1,Golden,106,106,106,Software OTP,Medium,Y,,,,
TXBFPHVECTOR1_2,Golden,0,0,0,Software OTP,Medium,Y,,,,
TXBFPHVECTOR2_0,Golden,57,57,57,Software OTP,Medium,Y,,,,
TXBFPHVECTOR2_1,Golden,176,176,176,Software OTP,Medium,Y,,,,
TXBFPHVECTOR2_2,Golden,1,1,1,Software OTP,Medium,Y,,,,
TXBFPHVECTOR3_0,Golden,249,249,249,Software OTP,Medium,Y,,,,
TXBFPHVECTOR3_1,Golden,191,191,191,Software OTP,Medium,Y,,,,
TXBFPHVECTOR3_2,Golden,1,1,1,Software OTP,Medium,Y,,,,
TXBFPHVECTOR4_0,Golden,0,0,0,Software OTP,Medium,Y,,,,
TXBFPHVECTOR4_1,Golden,0,0,0,Software OTP,Medium,Y,,,,
TXBFPHVECTOR4_2,Golden,0,0,0,Software OTP,Medium,Y,,,,
TXBFVEC4ROW0,Golden,1,1,1,Software OTP,Medium,Y,,,,
TXBFVEC4ROW1,Golden,2,2,2,Software OTP,Medium,Y,,,,
TXBFVEC4ROW2,Golden,4,4,4,Software OTP,Medium,Y,,,,
TXBFVEC4ROW3,Golden,3,3,3,Software OTP,Medium,Y,,,,
TXBFVEC4ROW4,Golden,3,3,3,Software OTP,Medium,Y,,,,
TXBFVEC4ROW5,Golden,3,3,3,Software OTP,Medium,Y,,,,
TXBFVEC4ROW6,Golden,4,4,4,Software OTP,Medium,Y,,,,
TXBFVEC4ROW7,Golden,2,2,2,Software OTP,Medium,Y,,,,
TXBFVEC4ROW8,Golden,1,1,1,Software OTP,Medium,Y,,,,
TXDELAYPHA,Golden,0,0,0,WS,Medium,Y,,,,
TXDELAYPHB,Golden,4,4,4,WS,Medium,Y,,,,
TXDELAYPHC,Golden,8,8,8,WS,Medium,Y,,,,
TXFREQ,Golden,0,0,0,WS,Medium,Y,,,,
TXNUMCYCLES,Golden,2,2,2,WS,Medium,Y,,,,
WHO_AM_I,Golden,173,173,173,WS,High,N,,,,
