ADCOFFSET,380,0
ADCRANGE,381,13
ANA_ENABLE,63,27
CONTRIM,274,0
GMBIASTRIM,463,15
HVCPNUMSTAGESTRIM,421,0
HVCPVREFTRIM,420,7
INT_WIDTH,5,0
MBBGTRIM,459,0
MBCURVCORTRIM,460,7
MBENABLE,462,5
MBIBIASTRIM,461,0
OFFSET_REG,273,92
PLLDIV,411,18
PLLVCOFREQ,410,0
PLLVCOKVHI,408,0
PLLVCOKVLO,409,0
PRI_SERIF_CFG,60,0
PROTECT_CFG,81,2
RCOSC_DIG_CLK_TIME,65,32
RCOSCBIASTRIM,418,0
RCOSCCALREFCOUNT_0,412,48
RCOSCCALREFCOUNT_1,413,1
RCOSCTRIM,414,0
RXADCCLKFREQSETTING,402,16
RXARRAYIBIASTRIM,441,0
RXATPIBIASTRIM,443,0
RXBIAS_PLL_CLK_TIME,64,3
RXBPFF0TRIM,433,7
RXBPFGAINTRIM,435,0
RXBPFIBIASTRIM,432,0
RXBPFQTRIM,434,5
RXCLKFREQSETTING,401,3
RXCLKNUMCYCLES,400,120
RXCOLSEL_0,334,56
RXCOLSEL_1,335,0
RXCONTROL,444,2
RXDELAYINTSTART_TEMP_0,280,168
RXDELAYINTSTART_TEMP_1,281,0
RXDELAYINTSTOP_TEMP_0,282,218
RXDELAYINTSTOP_TEMP_1,283,0
RXDELAYTRACKSTART_TEMP_0,284,244
RXDELAYTRACKSTART_TEMP_1,285,1
RXDELAYTRACKSTOP_TEMP_0,286,252
RXDELAYTRACKSTOP_TEMP_1,287,3
RXDIGCLKFREQSETTING,416,0
RXGLOBALIBIASTRIM,442,0
RXHVCPCLKFREQSETTING,417,6
RXINTCAPTRIM,439,1
RXINTIBIASTRIM,440,0
RXRECRESTRIM,437,2
RXRECTDZTRIM,438,1
RXRECTIBIASTRIM,436,0
RXROWSEL_0,332,56
RXROWSEL_1,333,0
RXSTG1GAINTRIM,424,0
RXSTG1IBIASTRIM,425,0
RXSTG2GAINTRIM,426,1
RXSTG2IBIASTRIM,427,0
RXSTG3IBIASTRIM,428,0
RXVCMREF1TRIM,429,0
RXVCMREF2TRIM,430,0
RXVCMREF3TRIM,431,0
SELHVCPVOL,464,4
TEMP_CONTROL,271,0
TSDVBETRIMC,453,7
TSDVBETRIMF,455,21
TSSIMPLEMODE,456,0
TSVBETRIMC,452,0
TSVBETRIMF,454,0
TXBFPHVECTOR0_0,300,80
TXBFPHVECTOR0_1,301,21
TXBFPHVECTOR0_2,302,0
TXBFPHVECTOR1_0,304,164
TXBFPHVECTOR1_1,305,106
TXBFPHVECTOR1_2,306,0
TXBFPHVECTOR2_0,308,57
TXBFPHVECTOR2_1,309,176
TXBFPHVECTOR2_2,310,1
TXBFPHVECTOR3_0,312,249
TXBFPHVECTOR3_1,313,191
TXBFPHVECTOR3_2,314,1
TXBFPHVECTOR4_0,316,0
TXBFPHVECTOR4_1,317,0
TXBFPHVECTOR4_2,318,0
TXBFVEC4ROW0,320,1
TXBFVEC4ROW1,321,2
TXBFVEC4ROW2,322,4
TXBFVEC4ROW3,323,3
TXBFVEC4ROW4,324,3
TXBFVEC4ROW5,325,3
TXBFVEC4ROW6,326,4
TXBFVEC4ROW7,327,2
TXBFVEC4ROW8,328,1
TXDELAYPHA,384,0
TXDELAYPHB,385,4
TXDELAYPHC,386,8
TXFREQ,403,0
TXNUMCYCLES,404,2
WHO_AM_I,0,173
